Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Full Description,Hub Tags,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,School Method,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Vestec,https://www.crunchbase.com/organization/vestec,"Artificial Intelligence (AI), Local Business, Machine Learning, Software","Waterloo, Ontario, Canada",Vestec develops various speech technologies by leveraging advances in artificial intelligence research.,"876,327",Great Lakes,N2L 6N8,,$1M to $10M,Active,2002-01-01,year,,,,,For Profit,http://www.vestec.com,https://www.twitter.com/vestecinc,https://www.facebook.com/208509272657328,https://www.linkedin.com/company/vestek-inc,info@vestec.com,519-885-7615,7,,Vestec was founded by a distinguished group of Artificial Intelligence (AI) researchers from Canada’s famed University of Waterloo to leverage AI advances in order to popularize and demystify speech technologies.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",2,"Fakhri Karray, Kashif Kahn",11-50,2,,2013-02-03,1500000,USD,1500000,Venture - Series Unknown,1500000,USD,1500000,Venture - Series Unknown,7900000,USD,7900000,7900000,USD,7900000,"V. Raman Kumar, Sansar Capital",1,2
Cloquo,https://www.crunchbase.com/organization/cloquo,"Apps, Browser Extensions, Events, iOS, Natural Language Processing, Neuroscience, Web Browsers","London, England, United Kingdom",Cloquo is a tool and a social network for iPhones that allows its users to get alarms and notifications on online events.,"877,163","Europe, Middle East, and Africa (EMEA)",EC2A 4BX,,,Closed,2012-07-27,day,2014-09-01,day,,,For Profit,http://cloquo.com,http://twitter.com/cloquo,,https://www.linkedin.com/company/cloquo/,hello@cloquo.com,,2,,"Cloquo is a tool and a social network that lets you grab events you find on the Internet that you don’t want to miss out on and turns them into alarms sent directly to your smartphone (iPhone only for now).  Later, you can share them and comment on them as well as follow people with similar tastes, and much more. 1.	Grab events from the web 2.	Turn them into alarms 3.	Save the alarm for your iPhone, add to Google Calendar   or receive reminders by email 4.	Share alarms with friends Websites full of dates for things to do… I’m going to forget them all! How do we easily remember dates for events? Maybe using Pocket or Evernote to save the websites, but those services are not going to remind you when time comes. Cloquo does!",,,,,,,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Biotechnology, Data and Analytics, Events, Internet Services, Media and Entertainment, Mobile, Platforms, Science and Engineering, Software",2,"David Moreno, Rafael Albaladejo",1-10,1,Seed,2012-12-01,,,,Seed,,,,Seed,,,,,,,Inception Capital,1,1
Crypteia Networks,https://www.crunchbase.com/organization/crypteia-networks,"Cyber Security, Information Technology, Network Security, Predictive Analytics, Security","Athens, Attiki, Greece",Responsive security based on threat intelligence & analytics,"877,888","European Union (EU), Europe, Middle East, and Africa (EMEA)",GR15451,,$1M to $10M,Active,2011-10-10,day,,,2014-10-21,day,For Profit,http://www.crypteianetworks.com,http://twitter.com/crypteianet,http://www.facebook.com/pages/Crypteia-Networks/185461454879982,http://www.linkedin.com/company/crypteia-networks,info@crypteianetworks.com,30 211 80 00 680,11,,"Crypteia Networks delivers a patent-pending technology that identifies zero-day threats on their infancy along with misconfigurations on the already deployed defenses, as to provide visualizations of the threats paths and provide suggested mitigation actions (MOREAL™). This enables enterprises to add a new layer of security in their environment by expanding the intelligence of their already deployed security mechanisms, maximize the value of the logs they are already generating & collecting without any change in their infrastructure. The solution is non-intrusive, OS independent and comes with zero integration pains. Crypteia Networks is headquartered in Athens, Greece with offices in Boston, MA.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Software",1,Yiannis Giokas,11-50,5,M&A,2014-05-21,,,,Non-equity Assistance,383000,EUR,521851,Seed,383000,EUR,521851,644600,EUR,866908,"MassChallenge, Yiannis Giokas",,2
Jellybooks,https://www.crunchbase.com/organization/jellybooks,"Analytics, Artificial Intelligence (AI), Data Mining, EBooks, Machine Learning, Publishing","London, England, United Kingdom",Jellybooks helps authors and publishers develop traction by identifying and reaching out to the most influential readers.,"878,893","Europe, Middle East, and Africa (EMEA)",,,,Active,2011-01-01,year,,,,,For Profit,http://jellybooks.com/,http://twitter.com/jellybooks,http://www.facebook.com/Jellybooks,http://www.linkedin.com/company/jellybooks,vip@jellybooks.com,,13,,"Jellybooks helps authors and publishers develop traction by identifying and reaching out to the most influential readers. We build intelligent tools that match books to readers, create buzz, and drive discovery so as to make any new book stand out among the 30 million books already published.  Our book sample widgets are already in use by 150 publishers for 35,000 titles. Jellybooks is creating the first reader analytics solution for ebooks. Working with Penguin Random House, we are addressing questions like: When is a book read? Who reads it cover to cover? Where do reader get stuck? Who reads the book cover to cover in a single session? In partnership with University College London and supported by Innovate UK, we are also developing new tools for applying machine learning to audience segmentation and audience targeting.  Jellybooks is the Google Analytics for [e]Books.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Information Technology, Media and Entertainment, Science and Engineering, Software",4,"Andrew Rhomberg, Andy Roberts, Gary Aston, Jeff Abrahamson",1-10,1,,2014-04-04,25000,GBP,41441,Grant,,,,,,,,25000,GBP,41441,,,
One Voice Technologies,https://www.crunchbase.com/organization/one-voice-technologies,"Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Software, Speech Recognition","La Jolla, California, United States",One Voice Technologies is a global voice technology company.,"886,315","Greater San Diego Area, West Coast, Western US",92037,,,Closed,1991-01-01,year,2011-01-03,day,,,For Profit,http://www.onev.com,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Dean Weber,51-100,1,,1999-05-31,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,Quan Technology Fund,,1
Texifter,https://www.crunchbase.com/organization/texifter,"Enterprise Software, Natural Language Processing, Search Engine, Social Media Management, Text Analytics","Amherst, Massachusetts, United States",Texifter offers cloud-based solutions to reduce the cost of managing large volumes of unstructured text documents.,"889,022","East Coast, New England, Northeastern US",01002,,$10M to $50M,Active,2009-10-01,day,,,,,For Profit,http://www.texifter.com,https://twitter.com/texifter,https://www.facebook.com/pg/Texifter,https://www.linkedin.com/company/texifter-llc/,help@discovertext.com,(413) 992-8513,2,,"Texifter's cloud-based solutions reduce the cost of managing large volumes of unstructured text documents and help users create value from millions of items imported from social media, federated search, bulk email extraction, and electronic document repositories.  Texifter provides access to a variety of social data via DiscoverText, including the Twitter search API, Facebook, and Gnip PowerTrack for Twitter, Tumblr, WordPress & Disqus. Through ""Sifter"" it provides access to to every undeleted Tweet in the history of Twitter. Our advanced social search capabilities leverage metadata, lower barriers to entry, and will change the way users interact with text. Texifter products combine structured work flow and algorithms to identify meaningful word combinations and help users render further judgments and inferences. The text analysis process looks for common parts, structures, and themes throughout unstructured and semi-structured text input and also identifies unique or unexpected parts.  Core technology was developed by the founder, Dr. Stuart Shulman, at UMass and the University of Pittsburgh. The company possesses an executed exclusive option for a perpetual commercial license for the IP.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Software",1,Stuart Shulman,1-10,2,Seed,2012-11-01,,,,Grant,180000,USD,180000,Seed,180000,USD,180000,180000,USD,180000,MassChallenge,,1
Azavea,https://www.crunchbase.com/organization/azavea,"Analytics, Cloud Computing, Commercial, Geospatial, Government, Mapping Services, Non Profit, Predictive Analytics, Software","Philadelphia, Pennsylvania, United States",Azavea creates civic geospatial software.,"898,103","Greater Philadelphia Area, Great Lakes, Northeastern US",19123,,$1M to $10M,Active,2000-01-01,year,,,2023-02-15,day,For Profit,https://www.azavea.com,http://twitter.com/azavea,https://www.facebook.com/azavea,https://www.linkedin.com/company/azavea,info@azavea.com,+1 215 925 2600,21,,"Azavea believes in the power of geospatial technology to improve communities and the planet.  From the simple to the complex, the firm’s talented staff brings together the strengths of both open source and commercial tools to build solutions that support better decision-making through the access and visualization of geographic data.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Internet Services, Navigation and Mapping, Other, Social Impact, Software",1,Robert Cheetham,11-50,1,M&A,2012-11-08,150000,USD,150000,Grant,,,,,,,,150000,USD,150000,National Science Foundation,1,1
EAGLE' OL,https://www.crunchbase.com/organization/eagle-ol,"Artificial Intelligence (AI), Machine Learning, Manufacturing","Longgang, Guangdong, China",EAGLE' OL is a professional intelligent equipment manufacturer with artificial intelligence and machine vision technology at its core.,"898,693",Asia-Pacific (APAC),,,Less than $1M,Active,2010-09-19,day,,,,,For Profit,http://www.eagle-eye-online.com/,,,https://www.linkedin.com/company/%E6%B7%B1%E5%9C%B3%E5%B8%82%E9%B9%B0%E7%9C%BC%E5%9C%A8%E7%BA%BF%E7%94%B5%E5%AD%90%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/,admin@eol-vision.com,86 0755-28708353,,,"EAGLE' OL vision software, involving camera modules, display panels, and printed circuit boards, is used in semiconductors, biometrics, automotive testing, three-dimensional measurement, and more. It is a professional intelligent equipment manufacturer with artificial intelligence and machine vision technology at its core.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software",1,Bo Jiang,101-250,1,Seed,2014-04-21,3000000,CNY,482769,Angel,3000000,CNY,482769,Angel,3000000,CNY,482769,3000000,CNY,482769,Shenzhen Capital Group,,1
158jixie.com,https://www.crunchbase.com/organization/158jixie-com,"Information Services, Machine Learning, Media and Entertainment, Productivity Tools","Beijing, Beijing, China",158jixie.com provided information about computer numerical controlled (CNC) machine tools.,"906,080",Asia-Pacific (APAC),,,,Active,2004-02-01,day,,,,,For Profit,http://www.158jixie.com,,,,jcsq158@188.com,86-10-51663382,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Media and Entertainment, Software",1,Ming Zhao,51-100,1,Early Stage Venture,2010-01-01,10000000,USD,10000000,Series A,10000000,USD,10000000,Series A,10000000,USD,10000000,10000000,USD,10000000,,,
IntegralReach,https://www.crunchbase.com/organization/integralreach,"Analytics, Big Data, Predictive Analytics, Software, Video","Cambridge, Massachusetts, United States","IntegralReach develops a predictive analytics platform that integrates massive data from set-tops, smart TVs, tablets, stream servers etc.","907,668","Greater Boston Area, East Coast, New England",,,,Closed,2012-04-01,day,2016-06-30,day,2013-06-03,day,For Profit,http://www.integralreach.com,http://twitter.com/integralreach,https://www.facebook.com/rovicorp,https://www.linkedin.com/company/integralreach/,info@integralreach.com,+1 408-562-8400,1,,"IntegralReach has developed a predictive analytics platform that integrates massive data from set-tops, smart TVs, tablets, stream servers – basically anywhere that video is consumed – enabling media companies and other inventory owners to optimize the value of the audiences that they deliver across their properties. The cloud-based platform has been designed from the ground up to deliver timely intelligence and actionable insights that are only possible with data from millions of homes and scaled computing resources.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Software, Video",3,"John Hoctor, John Pruellage, Matthew Emans",1-10,1,M&A,2012-10-23,50000,USD,50000,Grant,,,,,,,,50000,USD,50000,MassChallenge,,1
