Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company)
Credo AI,https://www.crunchbase.com/organization/credo-ai,"Credo AI is on a mission to empower enterprises to responsibly build, adopt, procure and use AI at scale. Credo AI’s cutting-edge AI governance platform automates AI oversight and  risk management, while  enabling  regulatory compliance to emerging global standards like the EU AI Act, NIST, and ISO. Credo AI keeps humans in control of AI, for better business and society. Founded in 2020, Credo AI has been recognized as a CBInsights AI 100, Technology Pioneer by the World Economic Forum, Fast Company’s Next Big Thing in Tech, and a top Intelligent App 40 by Madrona, Goldman Sachs, Microsoft and Pitchbook. To learn more, visit: credo.ai.","Artificial Intelligence (AI), Machine Learning, SaaS","Palo Alto, California, United States",Responsible AI Governance Platform,18300000,USD,18300000,,,0,"9,296",17,,18300000,USD,18300000,,,Scientific and electric apparatus and instruments,12800000,USD,12800000,2,2022-05-17,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Sands Capital Ventures, AI Fund, Decibel Partners, Village Global",,,0,Private,94306,2020-03-01,month,For Profit,https://www.credo.ai/,https://www.linkedin.com/company/credo-ai,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Eli Chen, Navrina Singh",11-50,Early Stage Venture,Series A,12800000,USD,12800000,Series A,2,4,,,"1,327","1,327"
Kognitos,https://www.crunchbase.com/organization/kognitos,"Kognitos is an interactive interface to explore the possibilities of their own minds. Users can do things faster than before. It is an AI platform designed to automate business processes.  The company was founded in 2021 and is headquartered in San Jose, California, United States.","Artificial Intelligence (AI), Business Development, Software","San Jose, California, United States",Kognitos is an AI platform designed to automate business processes.,28349999,USD,28349999,,,0,"92,978",21,,28349999,USD,28349999,,,,20000000,USD,20000000,3,2023-11-29,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Khosla Ventures, Wipro Ventures, Clear Ventures, Engineering Capital",,,1,Private,95128,2021-01-01,month,For Profit,https://www.kognitos.com/,https://www.linkedin.com/company/kognitos,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",1,Binny Gill,11-50,Early Stage Venture,Series A,20000000,USD,20000000,Series A,3,4,,,"1,352","1,352"
Lakera AI,https://www.crunchbase.com/organization/lakera-ai,"At Lakera, we are securing the future of intelligent computing. We enable enterprises to focus on building the most exciting AI applications securely by protecting them in the world of AI cyber risk.  We work with Fortune 500 companies, startups, and foundation model providers. We're also the team behind Gandalf – the world's most popular AI security game with millions of users. Join us to shape the future of intelligent computing: www.lakera.ai/careers","Artificial Intelligence (AI), Cyber Security, Machine Learning, Software","Zürich, Zurich, Switzerland",Securing the future of intelligent computing,10000000,USD,10000000,,,,"146,195",48,,10000000,USD,10000000,,,,10000000,USD,10000000,1,2023-10-12,"Europe, Middle East, and Africa (EMEA)",,"Inovia Capital, redalpine, Fly Ventures",,,,Private,CH-8003,2021-01-01,year,For Profit,https://lakera.ai,https://www.linkedin.com/company/lakeraai,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",3,"David Haber, Mateo Rojas-Carulla, Matthias Kraft",11-50,Seed,Seed,10000000,USD,10000000,Seed,1,3,,,"1,369","1,369"
bitsCrunch,https://www.crunchbase.com/organization/bitscrunch,"AI-enhanced decentralized data networks delivering unmatched analytics and forensics for NFTs, wallets, and other digital assets on the public blockchain.","Analytics, Artificial Intelligence (AI), Blockchain, Machine Learning","Munich, Bayern, Germany",bitsCrunch is an AI enhanced decentralised Blockchain analytics and forensics company that aims to secure the blockchain space.,10600000,USD,10600000,,,,"509,907",27,,10600000,USD,10600000,,,,2400000,USD,2400000,4,2024-01-23,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Chainlink, CoinList, Gate.io, Animoca Brands, LedgerPrime",,,,Private,80993,2021-02-01,day,For Profit,https://bitscrunch.com,https://www.linkedin.com/company/bitscrunch,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Other, Science and Engineering, Software",3,"Gopi Kannappan, Saravanan Jaichandaran, Vijay Pravin Maharajan",51-100,Early Stage Venture,Series A,2400000,USD,2400000,Series A,6,31,,,"1,428","1,428"
Plenful,https://www.crunchbase.com/organization/plenful,"Plenful optimizes healthcare and pharmacy operations through intelligent workflow automation, data configuration and centralization, and machine learning. The company built a healthcare-focused AI automation platform to unburden staff, deliver meaningful financial and operational results, and drive more efficient patient care outcomes. Plenful is located in San Francisco, California and is backed by leading healthcare and software investors..","Artificial Intelligence (AI), Data Center Automation, Health Care, IT Infrastructure, Machine Learning, Software","San Francisco, California, United States","Plenful is a no-code workflow automation and AI platform that optimizes healthcare's manual, administrative workflows.",26000000,USD,26000000,,,,570,6,,26000000,USD,26000000,,,,17000000,USD,17000000,2,2024-05-30,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"TQ Ventures, Bessemer Venture Partners, Waterline Ventures, Susa Ventures, Mitchell P. Rales",,,,Private,94108,2021-01-01,year,For Profit,https://www.plenful.com,https://www.linkedin.com/company/plenful,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Information Technology, Science and Engineering, Software",2,"Joy Liu, Joy Patel",11-50,Early Stage Venture,Series A,17000000,USD,17000000,Series A,2,5,,,"1,523","1,523"
SuperOps.ai,https://www.crunchbase.com/organization/superops-ai,"SuperOps.ai is involved in the MSP industry by automating and streamlining their service delivery and asset and network monitoring and management with its AI-powered unified PSA-RMM platform, with built-in network monitoring, IT documentation, and project management. Expand business opportunities and ensure predictable cash flow with clients.","Artificial Intelligence (AI), Asset Management, Marketing Automation, Property Management, Software","Chennai, Tamil Nadu, India","SuperOps.ai is a PSA-RMM platform powered by AI that offers project management, asset management, and IT documentation.",29372292,USD,29372292,,,,"30,776",53,10,29372292,USD,29372292,,,,1030000000,INR,12372292,3,2023-10-10,Asia-Pacific (APAC),$10M to $50M,"Matrix Partners India, Elevation Capital, March Capital, Ramakant Sharma, Tanglin Venture Partners",,,,Private,19703,2020-01-01,year,For Profit,http://superops.ai,https://www.linkedin.com/company/superops-ai,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Real Estate, Sales and Marketing, Science and Engineering, Software",2,"Arvind Parthiban, Jayakumar Karumbasalam",51-100,Early Stage Venture,Series B,1030000000,INR,12372292,Series B,5,14,,,"1,525","1,525"
GrayMatter Robotics,https://www.crunchbase.com/organization/graymatter-robotics,"GrayMatter Robotics is a company that solves the most difficult surface treatment and finishing challenges faced by high-mix, high-variability manufacturers. They offer advanced robotics and proprietary AI technologies, designed into smart robotic cells that assist humans in tedious and ergonomically challenging tasks.","Artificial Intelligence (AI), Machine Learning, Robotics","Gardena, California, United States",GrayMatter Robotics provides AI-powered robotic solutions that enhance productivity and efficiency for high-mix manufacturers.,70356000,USD,70356000,,,3,"4,560",35,,69100000,USD,69100000,,Hand Tools; Portable Power-Driven Tools; Manipulators,Scientific and electric apparatus and instruments,45000000,USD,45000000,5,2024-06-20,"Greater Los Angeles Area, West Coast, Western US",$10M to $50M,"B Capital, Wellington Management, NGP Capital, OCA Ventures, Euclidean Capital",,,10,Private,90248,2020-01-01,year,For Profit,https://www.graymatter-robotics.com,https://www.linkedin.com/company/graymatter-robotics,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",3,"Ariyan Kabir, Brual Shah, Satyandra Gupta",11-50,Early Stage Venture,Series B,45000000,USD,45000000,Series B,5,14,,,"1,527","1,527"
Norm AI,https://www.crunchbase.com/organization/norm-ai,"Norm AI provides an AI-powered regulatory compliance platform for the legal and compliance industries. It also provides solutions for sludge problem by enabling compliance teams to delegate tasks to Regulatory AI via high-level instructions, while at the same time validating the resulting work product.","Artificial Intelligence (AI), Compliance, Information Technology, Legal Tech","New York, New York, United States",Norm AI provides an AI-powered regulatory compliance platform for the legal and compliance industries.,38100000,USD,38100000,,,,"1,509",1,,38100000,USD,38100000,,,,27000000,USD,27000000,2,2024-06-25,"Greater New York Area, East Coast, Northeastern US",,"M13, Haystack, Basis Set Ventures, Citi Ventures, TIAA",,,,Private,,2023-01-01,year,,https://www.norm.ai/,https://www.linkedin.com/company/normative-ai/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",1,John Nay,11-50,Early Stage Venture,Series A,27000000,USD,27000000,Series A,1,15,,,"1,647","1,647"
Aethir,https://www.crunchbase.com/organization/aethir-c6fc,"Aethir’s Decentralized Cloud Infrastructure (DCI) is the framework that unbinds the macro trajectory of the AI and gaming industry, from the walled garden resources of the incumbent cloud hegemony.Aethir's make complex cloud resources more accessible.","Artificial Intelligence (AI), Gaming, Information Technology","Singapore, Central Region, Singapore",Aethir's offers The Decentralized Cloud Infrastructure framework that frees the AI and gaming industries macro trajectory,9000000,USD,9000000,,,,"593,548",3,,9000000,USD,9000000,,,,9000000,USD,9000000,2,2023-07-26,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,"Big Brain Holdings, Framework Ventures, Mirana, Momentum 6, Hashkey Exchange",,,,Private,,2021-01-01,year,For Profit,https://www.aethir.com,https://www.linkedin.com/company/aethir-limited,,,"Artificial Intelligence (AI), Data and Analytics, Gaming, Information Technology, Science and Engineering, Software",,,11-50,Seed,Seed,9000000,USD,9000000,Seed,6,13,,,"1,648","1,648"
Plotly,https://www.crunchbase.com/organization/plotly,"Plotly is a data science and AI company focused on taking data science out of the lab and into the business. Plotly makes it easy to create, deploy, and share interactive web apps, graphs, and visualizations in any programming language.","Analytics, Artificial Intelligence (AI), Big Data, Collaboration, Data Integration, Data Visualization, Education, Machine Learning, Software","Montréal, Quebec, Canada",Plotly is a data science and AI company that makes it easy to create and deploy interactive web apps in any programming language.,18355613,USD,18355613,,,7,"1,781,939",8,21,16428163,USD,16428163,,,Scientific and electric apparatus and instruments,2400000,USD,2400000,7,2020-05-15,,$10M to $50M,"Scale AI, VentureOut, Chan Zuckerberg Initiative, Real Ventures, Rho Ventures",,,0,Private,H2T 2A4,2013-08-09,day,For Profit,https://plotly.com,http://www.linkedin.com/company/plotly,,,"Artificial Intelligence (AI), Data and Analytics, Design, Education, Information Technology, Other, Science and Engineering, Software",4,"Alex Johnson, Chris Parmer, Jack Parmer, Matt Sundquist",51-100,Late Stage Venture,Series C,2400000,USD,2400000,Series C,4,11,,,"1,655","1,655"
Reken,https://www.crunchbase.com/organization/reken,"Reken is an AI & cybersecurity firm building a new type of AI platform and products to protect against generative AI-enabled threats, including deepfake social engineering and automated fraud. The company was founded in 2024 and is based in San Francisco, California.","Artificial Intelligence (AI), Communications Infrastructure, Cyber Security, Fraud Detection, Information Technology, Machine Learning, Network Security, Security, Software","San Francisco, California, United States",Reken is an AI & cybersecurity firm building a new type of AI platform and products to protect against generative AI-enabled fraud.,10000000,USD,10000000,,,0,,14,,10000000,USD,10000000,,,Telecommunications,10000000,USD,10000000,1,2024-01-31,"San Francisco Bay Area, West Coast, Western US",,"Fika Ventures, Jazz Venture Partners, Firebolt Ventures, FPV Ventures, Sequoia Scout",,,0,Private,94114,2024-01-01,day,For Profit,https://reken.ai,https://www.linkedin.com/company/reken-ai/,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Information Technology, Payments, Privacy and Security, Science and Engineering, Software",2,"Rich Griffiths, Shuman Ghosemajumder",1-10,Seed,Seed,10000000,USD,10000000,Seed,2,10,,,"1,675","1,675"
CodiumAI,https://www.crunchbase.com/organization/codiumai,CodiumAI is leveraging the power of artificial and human intelligence to create a new code integrity paradigm. CodiumAI enables developers to build faster and with fewer bugs.,"Artificial Intelligence (AI), Machine Learning, Web Development","Tel Aviv, Tel Aviv, Israel",CodiumAI combines the power of artificial and human intelligence to create a new code integrity paradigm.,10600000,USD,10600000,,,,"216,425",74,,10600000,USD,10600000,,,,10600000,USD,10600000,2,2023-03-22,"Europe, Middle East, and Africa (EMEA), Middle East",$1M to $10M,"Vine Ventures, TLV Partners, Intel Ignite",,,,Private,,2022-06-29,day,For Profit,https://www.codium.ai,https://www.linkedin.com/company/codiumai,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Dedy Kredo, Itamar Friedman",11-50,Seed,Seed,10600000,USD,10600000,Seed,3,3,,,"1,685","1,685"
