Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company)
Zesty.ai,https://www.crunchbase.com/organization/zesty-ai,"Analytics, Artificial Intelligence (AI), InsurTech, Machine Learning, PropTech, Real Estate, Software","Oakland, California, United States",Zesty.ai is an AI-enabled property analytics and risk platform for insurance.,"2,598"
Kontakt.io,https://www.crunchbase.com/organization/kontakt,"Artificial Intelligence (AI), Indoor Positioning, Internet of Things, Location Based Services","New York, New York, United States","Kontakt.io utilizes cloud, AI, and IoT (RTLS) technology to provide inpatient and indoor customer journey analytics.","2,619"
SmarterDx,https://www.crunchbase.com/organization/smarterdx,"Artificial Intelligence (AI), Health Care, Hospital, Information Technology","New York, New York, United States",SmarterDx is a clinical AI company that develops automated pre-bill review tech to help hospitals maintain revenue integrity.,"2,620"
Intellimize,https://www.crunchbase.com/organization/intellimize,"Advertising, Artificial Intelligence (AI), Internet, Machine Learning, SaaS","San Francisco, California, United States",Intellimize is a startup offering tools for marketers to drive conversions by personalizing websites.,"2,625"
Rev,https://www.crunchbase.com/organization/rev,"Artificial Intelligence (AI), Developer APIs, Mobile Apps, Software, Speech Recognition","Austin, Texas, United States",Rev is the world’s most accurate speech technology provider,"2,638"
LiveKit,https://www.crunchbase.com/organization/livekit,"Artificial Intelligence (AI), Cloud Infrastructure, Real Time","San Jose, California, United States",The Realtime Cloud. Build and scale voice and video applications.,"2,644"
Jina AI,https://www.crunchbase.com/organization/jina-ai,"Artificial Intelligence (AI), Cloud Data Services, Machine Learning, Open Source, Software","Berlin, Berlin, Germany",Empowering businesses and developers to build neural search solutions in minutes at scale.,"2,648"
Carta Healthcare,https://www.crunchbase.com/organization/carta-healthcare,"Delivery, Health Care, Hospital, Machine Learning","San Francisco, California, United States",Carta Healthcare empowers hospitals to personalize the delivery of care to the individual needs of each patient.,"2,652"
Zencity,https://www.crunchbase.com/organization/zencity,"Analytics, Artificial Intelligence (AI), GovTech, Machine Learning, SaaS, Software","Tel Aviv, Tel Aviv, Israel",Leading global community engagement SaaS technology platform for local governments,"2,679"
Bark Technologies,https://www.crunchbase.com/organization/bark-technologies,"Artificial Intelligence (AI), Children, Internet, Machine Learning, Parenting, Software","Atlanta, Georgia, United States","Bark uses AI to detect issues like cyberbullying, suicidal ideation, and school shooting threats.","2,696"
SafeGraph,https://www.crunchbase.com/organization/safegraph,"Analytics, Artificial Intelligence (AI), Machine Learning, Software","San Francisco, California, United States",SafeGraph builds and maintains data sets to help accelerate machine learning and AI.,"2,756"
Pieces,https://www.crunchbase.com/organization/pieces-tech,"Artificial Intelligence (AI), Enterprise Software, Health Care, Hospital, Machine Learning, Real Time","Irving, Texas, United States",Pieces is a healthcare artificial intelligence and technology company.,"2,756"
Luzia,https://www.crunchbase.com/organization/lightia,"Artificial Intelligence (AI), Chatbot, Internet","Madrid, Madrid, Spain",Luzia is a developer of an AI powered personal assistant designed to help in every day life.,"2,761"
Resistant AI,https://www.crunchbase.com/organization/resistant-ai,"Artificial Intelligence (AI), Machine Learning, Network Security","Prague, Hlavni mesto Praha, Czech Republic","Resistant AI helps to protect AI systems from targeted manipulation, adversarial machine learning attacks and advanced fraud.","2,781"
Felix,https://www.crunchbase.com/organization/felix-44f4,"Artificial Intelligence (AI), FinTech, Natural Language Processing, Payments","San Francisco, California, United States",Felix is a chat-based digital platform that enables cross-border payments.,"2,788"
Robovision,https://www.crunchbase.com/organization/robovision,"AgTech, Artificial Intelligence (AI), Computer Vision, Enterprise Software, Intelligent Systems, Machine Learning, PaaS, Robotics, SaaS, Software","Ghent, Oost-Vlaanderen, Belgium",Robovision is the adaptive engine for image-to-action AI solutions.,"2,797"
Spare,https://www.crunchbase.com/organization/spare-labs,"Artificial Intelligence (AI), Mobile Apps, Software, Transportation","Vancouver, British Columbia, Canada",Spare is a mobility management software company that helps public transit agencies manage and optimize transportation services.,"2,818"
EverC,https://www.crunchbase.com/organization/evercompliant,"Artificial Intelligence (AI), Compliance, Cyber Security, FinTech, Fraud Detection, Information Technology, Machine Learning, Risk Management, Security","New York, New York, United States",The EverC solution is the first vertical AI risk classification platform designed for the needs of global marketplaces & payment providers.,"2,822"
Arteria AI,https://www.crunchbase.com/organization/arteria-ai,"Artificial Intelligence (AI), Contact Management, Machine Learning","Toronto, Ontario, Canada",Arteria AI is an AI-focused company that develops a contract lifecycle management platform for end-to-end digital contracting.,"2,828"
Nautilus Labs,https://www.crunchbase.com/organization/nautilus-labs,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Marine Transportation, Shipping, Software","New York, New York, United States",Nautilus Labs is a technology company that offers decarbonization of the ocean supply chain.,"2,840"
Streamlit,https://www.crunchbase.com/organization/streamlit,"Analytics, Artificial Intelligence (AI), Big Data, Developer Tools, Machine Learning, Software","San Francisco, California, United States",Streamlit is an open-source app framework for creating and deploying data science applications.,"2,853"
Bobble AI,https://www.crunchbase.com/organization/bobble-app,"Artificial Intelligence (AI), Digital Media, Mobile, Software","Haryana, Haryana, India","Bobble AI is a conversation media app, making smartphone conversations personalized, expressive, and smarter with deep tech innovations.","2,872"
Avataar,https://www.crunchbase.com/organization/avataar-me,"3D Technology, Artificial Intelligence (AI), Augmented Reality, E-Commerce, Virtual Reality","Bangalore, Karnataka, India",Avataar is an AI technology platform that offers AR solutions for e-commerce retailers.,"2,885"
AiCure,https://www.crunchbase.com/organization/ai-cure,"Analytics, Artificial Intelligence (AI), Clinical Trials, Health Care, Machine Learning, Medical, Software","New York, New York, United States",AiCure is an advanced data analytics company that uses artificial intelligence to understand how patients respond to treatments.,"2,898"
Tookitaki,https://www.crunchbase.com/organization/tookitaki,"Compliance, Finance, FinTech, Predictive Analytics, SaaS, Software","Singapore, Central Region, Singapore",Tookitaki is a Regtech company offering financial crime detection and prevention to some of the world's leading banks and fintech firms.,"2,900"
ZERO,https://www.crunchbase.com/organization/zero-2,"Apps, Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Campbell, California, United States",ZERO is empowering the Enterprise of the Future with an AI co-pilot for every knowledge worker,"2,918"
Canvas,https://www.crunchbase.com/organization/canvas-construction,"Artificial Intelligence (AI), Construction, Machine Learning, Real Estate, Robotics","San Francisco, California, United States",Robotics company creating a new class of tool for the skilled construction worker.,"2,941"
skan.ai,https://www.crunchbase.com/organization/skan-ai,Artificial Intelligence (AI),"San Jose, California, United States","Skan.ai uses cognitive technologies to map, model, and manage business processes by creating digital twins of human or digital interactions.","2,956"
Boost AI,https://www.crunchbase.com/organization/boost-ai,"Artificial Intelligence (AI), Customer Service, Information Technology, Machine Learning, Software, Virtual Assistant","Sandnes, Rogaland, Norway",Boost.ai is a Scandinavian software company that specializes in conversational artificial intelligence (AI).,"2,957"
Accern,https://www.crunchbase.com/organization/accern,"Artificial Intelligence (AI), Big Data, Generative AI, InsurTech, Machine Learning, Natural Language Processing, Text Analytics","New York, New York, United States",Enable superhuman efficiency across the global workforce with NLP,"2,958"
