Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Organization Revenue Range,Organization Website,Organization Location,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - EMAGIN,https://www.crunchbase.com/funding_round/emagin-2-seed--f8289e7c,EMAGIN,https://www.crunchbase.com/organization/emagin-2,Seed,2100000,USD,2100000,2017-12-21,Seed,,,,Yes,EMAGIN provides water and wastewater facilities with an operational intelligence platform that supports real-time decision making.,"Artificial Intelligence (AI), Big Data, Predictive Analytics, Water",,7,M&A,2985828,USD,2985828,$1M to $10M,https://www.emagin.ai,"Kitchener, Ontario, Canada, North America",Tencent,Tencent,1,,"120,441"
Grant - Alerion,https://www.crunchbase.com/funding_round/alerion-technologies-grant--98b907f9,Alerion,https://www.crunchbase.com/organization/alerion-technologies,Grant,773185,EUR,843437,2017-05-01,,,,,No,Alerion develops intelligent drones for fully autonomous and automated real-time infrastructure inspections.,"Artificial Intelligence (AI), Computer Vision, Drones, Machine Learning, Navigation, Robotics",,3,,1973185,EUR,2165616,Less than $1M,https://www.aleriontec.com,"Donostia-san Sebastián, Pais Vasco, Spain, Europe",,EASME - EU Executive Agency for SMEs,1,,"402,511"
Venture Round - PlusMargin,https://www.crunchbase.com/funding_round/plusmargin-series-unknown--2ec83f34,PlusMargin,https://www.crunchbase.com/organization/plusmargin,Venture - Series Unknown,1500000,USD,1500000,2017-09-24,,,,,Yes,"PlusMargin combines consumer psychology and machine learning, and persuades users to take action on platforms.","Information Technology, Machine Learning, Predictive Analytics, Software",,2,,1700000,USD,1700000,Less than $1M,https://plusmargin.com,"Singapore, Central Region, Singapore, Asia",,500 Global,1,,"301,406"
Grant - InsightFinder,https://www.crunchbase.com/funding_round/insightfinder-inc-grant--cd6c8510,InsightFinder,https://www.crunchbase.com/organization/insightfinder-inc,Grant,1260000,USD,1260000,2017-03-24,,,,,No,InsightFinder is a software company that provides monitoring and predictive analytics services for IT operations.,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Predictive Analytics","Women Founded, Women Led",11,Early Stage Venture,19487250,USD,19487250,$1M to $10M,https://insightfinder.com,"Durham, North Carolina, United States, North America",National Science Foundation,National Science Foundation,1,,"120,990"
Seed Round - Pattern89,https://www.crunchbase.com/funding_round/quantifi-2-seed--39c78a8d,Pattern89,https://www.crunchbase.com/organization/quantifi-2,Seed,2345000,USD,2345000,2017-06-06,Seed,,,,Yes,Pattern89 is a marketing platform for social media ads to help brands discover the ad elements that most impact paid social performance.,"Advertising, Artificial Intelligence (AI), Digital Marketing, Internet",,3,M&A,7845000,USD,7845000,$1M to $10M,https://www.pattern89.com/,"Indianapolis, Indiana, United States, North America",,"High Alpha, Router Ventures",2,4,"372,245"
Seed Round - Graphen,https://www.crunchbase.com/funding_round/graphen-seed--0ebef234,Graphen,https://www.crunchbase.com/organization/graphen,Seed,2000000,USD,2000000,2017-10-30,Seed,,,,Yes,"Graphen is a next-generation AI company that offers AI solutions for financial services, healthcare, and cybersecurity.","Artificial Intelligence (AI), Machine Learning, Software",Women Founded,2,,7125000,USD,7125000,Less than $1M,http://www.graphen.ai,"New York, New York, United States, North America",,,,,"372,377"
Post-IPO Equity - AIMan,https://www.crunchbase.com/funding_round/aiman-post-ipo-equity--e1509d4c,AIMan,https://www.crunchbase.com/organization/aiman,Post-IPO Equity,10000000,CNY,1511933,2017-12-01,,,,,Yes,AIMan offers services in the fields of language processing and data mining.,"Artificial Intelligence (AI), Data Mining, Information Technology, Software",,4,IPO,120780000,CNY,19050726,,http://www.iminer.com/,"Beijing, Beijing, China, Asia",,"RiverHill Fund, Zhongzhi Hulian",2,,"509,230"
Angel Round - SmaSS Technologies,https://www.crunchbase.com/funding_round/smart-supervision-system-angel--f1c91d7d,SmaSS Technologies,https://www.crunchbase.com/organization/smart-supervision-system,Angel,1200000,USD,1200000,2017-07-23,Seed,,,,Yes,CV&AI AppStore with the EDGE cameras family,"Artificial Intelligence (AI), Internet of Things, Logistics, Machine Learning, Mining, Oil and Gas, Retail, Retail Technology, Security, Software",,3,,5700000,USD,5700000,,http://smass.tech,"Addison, Texas, United States, North America",,"Alex Garshin, Anton Kramarov",2,,"464,831"
Series A - Smart Controls Systems,https://www.crunchbase.com/funding_round/smart-controls-systems-series-a--6a67d658,Smart Controls Systems,https://www.crunchbase.com/organization/smart-controls-systems,Series A,6000000,SAR,1600000,2017-05-15,Early Stage Venture,,,,Yes,"Smart Controls Systems provides access control, building management systems, and hardware services.","Information Technology, Predictive Analytics, Telecommunications",,1,Early Stage Venture,6000000,SAR,1600000,$1M to $10M,http://www.smartcontrolssystems.com/,"Riyadh, Ar Riyad, Saudi Arabia, Asia",Saudi Aramco,Saudi Aramco,1,,"464,836"
Seed Round - Solexvintel alto impacto,https://www.crunchbase.com/funding_round/solexvintel-alto-impacto-seed--25960ed4,Solexvintel alto impacto,https://www.crunchbase.com/organization/solexvintel-alto-impacto,Seed,15000000,MXN,804175,2017-06-01,Seed,50000000,MXN,2680584,Yes,"SolexVintel harnesses artificial vision in developing solutions for automatic inspection, pattern recognition, and classification.","Artificial Intelligence (AI), Health Care",,1,Seed,15000000,MXN,804175,Less than $1M,http://solexvintel.com.mx/,"Alvaro Obregón, Distrito Federal, Mexico, North America",Mayan Capital Fund,Mayan Capital Fund,1,,"466,048"
Seed Round - KickView,https://www.crunchbase.com/funding_round/kickview-seed--7a8ebade,KickView,https://www.crunchbase.com/organization/kickview,Seed,480000,USD,480000,2017-12-28,Seed,,,,Yes,KickView provides advanced sensor signal processing and machine learning applications for the Defense and Space industry.,"Machine Learning, Sensor, Software, Video",,2,Seed,895000,USD,895000,$1M to $10M,http://kickview.com/,"Greenwood Village, Colorado, United States, North America",,,,,"305,247"
Series A - Convr,https://www.crunchbase.com/funding_round/datacubes-series-a--9eebf7c1,Convr,https://www.crunchbase.com/organization/datacubes,Series A,2500000,USD,2500000,2017-09-07,Early Stage Venture,,,,Yes,Convr empowers commercial insurance carriers with frictionless underwriting to enable optimal efficiency.,"Artificial Intelligence (AI), Database, Insurance, InsurTech, Machine Learning",South Asian Founded,3,Early Stage Venture,17700000,USD,17700000,$1M to $10M,https://www.convr.com,"Schaumburg, Illinois, United States, North America","MK Capital, Seyen Capital","M25, MK Capital, Seyen Capital",3,,"637,735"
Grant - Gooroo,https://www.crunchbase.com/funding_round/ms-gooroo-grant--8c710706,Gooroo,https://www.crunchbase.com/organization/ms-gooroo,Grant,726000,AUD,556097,2017-10-31,,,,,No,"Gooroo is a predictive technology platform that makes hiring talent more accurate, teams more productive and communications more targeted. ","Analytics, Artificial Intelligence (AI), Big Data, Collaboration, Human Resources, Machine Learning, Neuroscience, Recruiting, Software, Training",,5,IPO,9687531,AUD,7400728,$1M to $10M,https://www.goorooventures.com/,"Prahran, Victoria, Australia, Oceania",,,,,"638,874"
Seed Round - Bringhub,https://www.crunchbase.com/funding_round/bringhub-seed--c1cbf7e5,Bringhub,https://www.crunchbase.com/organization/bringhub,Seed,1250000,USD,1250000,2017-01-09,Seed,,,,Yes,Bringhub is the leading contextual marketing platform. ,"Ad Targeting, Artificial Intelligence (AI), Digital Marketing, E-Commerce, SaaS, Software",,4,Seed,6850000,USD,6850000,$1M to $10M,http://bringhub.com,"Los Angeles, California, United States, North America",,"Forbes Media, Integrated Asset Management",2,,"662,851"
Seed Round - Seven Sensing Software BV,https://www.crunchbase.com/funding_round/seven-sensing-software-nv-seed--909e495d,Seven Sensing Software BV,https://www.crunchbase.com/organization/seven-sensing-software-nv,Seed,580000,EUR,675776,2017-10-30,Seed,,,,Yes,Focused on hearing and vision augmentation embedded software algorithms,"3D Technology, Artificial Intelligence (AI), Computer Vision, Facial Recognition, Information Technology, Machine Learning, Privacy, Sensor, Software",,2,Seed,2080000,EUR,2521850,$1M to $10M,http://www.7sensingsoftware.com,"Antwerp, Antwerpen, Belgium, Europe",,,,,"648,904"
Seed Round - Blue Canoe Learning,https://www.crunchbase.com/funding_round/blue-canoe-learning-seed--a45c32d9,Blue Canoe Learning,https://www.crunchbase.com/organization/blue-canoe-learning,Seed,1400000,USD,1400000,2017-10-26,Seed,,,,Yes,Blue Canoe is an AI B2B company that has revolutionized how to help non-native English speakers improve their spoken English,"Apps, Artificial Intelligence (AI), B2B, Corporate Training, EdTech, Language Learning, Mobile Apps","Women Founded, Women Led",3,Seed,4400000,USD,4400000,Less than $1M,http://www.bluecanoelearning.com/,"Bellevue, Washington, United States, North America",Kernel Labs,Kernel Labs,1,,"128,650"
Seed Round - Botfuel,https://www.crunchbase.com/funding_round/botfuel-seed--1733001c,Botfuel,https://www.crunchbase.com/organization/botfuel,Seed,1300000,USD,1300000,2017-03-27,Seed,,,,Yes,Botfuel operates as a web-based platform and SDK that offers chatbots for individuals and businesses.,"Artificial Intelligence (AI), Chatbot, Messaging, Software",,2,Seed,4100743,USD,4100743,$1M to $10M,https://www.botfuel.io,"Paris, Ile-de-France, France, Europe","Breega, Seventure Partners","Breega, Seventure Partners",2,1,"128,901"
Series A - Weixuanke,https://www.crunchbase.com/funding_round/weixuanke-series-a--eb0f870d,Weixuanke,https://www.crunchbase.com/organization/weixuanke,Series A,10000000,CNY,1448755,2017-03-07,Early Stage Venture,,,,Yes,Weixuanke provides artificial intelligence based payment solutions.,"Artificial Intelligence (AI), Facial Recognition, Financial Services, Payments, Software",,3,Early Stage Venture,21000000,CNY,3109586,,https://www.vicmob.com/,"Wuxi Shi, Jiangsu, China, Asia",Guangrun Chuangtou,Guangrun Chuangtou,1,,"129,471"
Seed Round - JetClass,https://www.crunchbase.com/funding_round/jetclass-seed--0aeb6d63,JetClass,https://www.crunchbase.com/organization/jetclass,Seed,1500000,EUR,1615368,2017-02-01,Seed,,,,Yes,"JetClass's mission is to democratize private jet travel, making it more accessible and efficient by leveraging proprietary AI technology.","Aerospace, Air Transportation, Artificial Intelligence (AI), Business Travel, Machine Learning, Marketplace, Travel",,5,Seed,4040368,USD,4040368,$1M to $10M,http://www.jetclass.com,"Dubai, Dubai, United Arab Emirates, Asia",,,,,"460,671"
Seed Round - SmartBeings,https://www.crunchbase.com/funding_round/smartbeings-llc-seed--92235113,SmartBeings,https://www.crunchbase.com/organization/smartbeings-llc,Seed,2000000,USD,2000000,2017-08-01,Seed,,,,Yes,SmartBeings features an AI-embedded device that specializes in organizing multiple smarthome devices.,"Artificial Intelligence (AI), Cloud Computing, Consumer Electronics, Developer Platform, Enterprise, Internet of Things, Natural Language Processing",,2,Seed,2030000,USD,2030000,Less than $1M,http://www.smartbeings.com,"Menlo Park, California, United States, North America",,,,,"130,871"
Series A - Simplaex,https://www.crunchbase.com/funding_round/simplaex-series-a--44bb1655,Simplaex,https://www.crunchbase.com/organization/simplaex,Series A,2600000,USD,2600000,2017-03-09,Early Stage Venture,,,,Yes,Simplaex is the company behind the world’s most advanced artificial intelligence-powered user targeting technology.,"Ad Targeting, Advertising, Artificial Intelligence (AI), Big Data, Brand Marketing, Data Visualization, Digital Marketing, Marketing",,3,Early Stage Venture,6771788,USD,6771788,$1M to $10M,http://www.simplaex.com/,"Berlin, Berlin, Germany, Europe",Target Partners,"Antheria Holding AG, Target Partners",2,1,"131,296"
Seed Round - Pienso,https://www.crunchbase.com/funding_round/pienso-seed--a838114f,Pienso,https://www.crunchbase.com/organization/pienso,Seed,2100000,USD,2100000,2017-11-06,Seed,1000000,USD,1000000,Yes,"Pienso is a B2B AI platform that utilizes text data for insight generation, document intelligence, and content moderation.","Artificial Intelligence (AI), Big Data, Generative AI, Machine Learning, Software","Black Founded, Black Led",7,Early Stage Venture,17017854,USD,17017854,$1M to $10M,http://pienso.com,"Arlington, Virginia, United States, North America",Eniac Ventures,"Atypical Ventures, Eniac Ventures, Indicator Ventures, New Age Capital, The E14 Fund, Uncork Capital",6,5,"164,691"
Series A - 0glass,https://www.crunchbase.com/funding_round/0glass-series-a--9af75b3e,0glass,https://www.crunchbase.com/organization/0glass,Series A,10000000,CNY,1451358,2017-05-18,Early Stage Venture,,,,Yes,Open industrial AR application era .,"Apps, Artificial Intelligence (AI), Human Computer Interaction, Optical Communication, Software",,2,Early Stage Venture,4387358,USD,4387358,,http://www.0glass.cn/,"Shenzhen, Guangdong, China, Asia",,"Enlightenment Capital, Jun Capital, Ming capital",3,,"591,723"
Grant - DTE ehf,https://www.crunchbase.com/funding_round/dynamic-technology-equipment-grant--76df0005,DTE ehf,https://www.crunchbase.com/organization/dynamic-technology-equipment,Grant,450000,USD,450000,2017-10-01,,,,,No,Actionable real-time process analytics for the metals industry.,"Analytics, Industrial, Industrial Automation, Machine Learning, Sensor",,12,Early Stage Venture,36207292,USD,36207292,$10M to $50M,http://www.dte.ai,"Reykjavík, Gullbringusysla, Iceland, Europe",,Technology Development Fund,1,,"165,321"
Grant - VocaliD,https://www.crunchbase.com/funding_round/vocalid-grant--8ddcb32c,VocaliD,https://www.crunchbase.com/organization/vocalid,Grant,1200000,USD,1200000,2017-09-01,,,,,No,Voice AI company that synthesizes unique vocal personalities so brands and individuals can be heard,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Women Founded, Women Led",12,M&A,4335249,USD,4335249,Less than $1M,https://vocalid.ai,"Boston, Massachusetts, United States, North America",,,,,"309,821"
Seed Round - Zencity,https://www.crunchbase.com/funding_round/zencity-seed--dff94228,Zencity,https://www.crunchbase.com/organization/zencity,Seed,1700000,USD,1700000,2017-09-04,Seed,,,,Yes,Leading global community engagement SaaS technology platform for local governments,"Analytics, Artificial Intelligence (AI), GovTech, SaaS, Software",,7,Late Stage Venture,91200000,USD,91200000,Less than $1M,http://www.zencity.io,"New York, New York, United States, North America",Canaan Partners Israel,"Canaan Partners Israel, i3 equity Partners",2,1,"231,619"
Convertible Note - Brodmann17,https://www.crunchbase.com/funding_round/brodmann17-convertible-note--9d2e499e,Brodmann17,https://www.crunchbase.com/organization/brodmann17,Convertible Note,1600000,USD,1600000,2017-11-01,,,,,No,"Our patented deep learning & computer-vision algorithms save 95% computer power, so we can bring Automated Driving to mass-market mobility.","Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Machine Learning, Software",,6,Early Stage Venture,25200000,USD,25200000,,http://brodmann17.com,"Tel Aviv, Tel Aviv, Israel, Asia",,,,,"231,672"
Grant - Sinopia Biosciences,https://www.crunchbase.com/funding_round/sinopia-biosciences-grant--b82b79af,Sinopia Biosciences,https://www.crunchbase.com/organization/sinopia-biosciences,Grant,1500000,USD,1500000,2017-06-15,,,,,No,"Sinopia Biosciences enables data-driven drug discovery by means of multi-omics data, machine learning, network analyses, and disease models.","Artificial Intelligence (AI), Biopharma, Biotechnology, Machine Learning, Neuroscience",Women Led,14,,14409000,USD,14409000,$1M to $10M,http://www.sinopiabio.com,"San Diego, California, United States, North America","National Heart, Lung and Blood Institute","National Heart, Lung and Blood Institute",1,,"168,046"
