Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Announced Date,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Smarter Diagnostics,https://www.crunchbase.com/funding_round/smarter-diagnostics-pre-seed--bfb24058,Smarter Diagnostics,https://www.crunchbase.com/organization/smarter-diagnostics,Pre-Seed,2200000,PLN,445544,Seed,,,,Yes,2022-09-29,Smarter Diagnostics brings innovation for orthopedic injury preventive diagnostics with medical imaging and AI,,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Image Recognition, Machine Learning, Medical, Medical Device, Software","Olsztyn, Warminsko-Mazurskie, Poland, Europe",https://www.smarterdiagnostics.com/,,1436888,USD,1436888,Seed,3,"Aligo Venture Capital, Sunfish Partners","Aligo Venture Capital, Sunfish Partners",2,,"30,743"
Seed Round - SEE ID,https://www.crunchbase.com/funding_round/see-id-seed--8ba1d018,SEE ID,https://www.crunchbase.com/organization/see-id,Seed,451000,USD,451000,Seed,,,,Yes,2022-06-17,"We are an Industrial IoT team providing systems to identify, locate, authenticate and status assets in real time.",,"Artificial Intelligence (AI), Business Intelligence, Cloud Data Services, Internet of Things, SaaS, Software","Las Vegas, Nevada, United States, North America",https://seeidinc.com,$1M to $10M,5207965,USD,5207965,Seed,3,,"FundNV, Piotr Tomasik",2,,"30,392"
Pre Seed Round - IoTFlows,https://www.crunchbase.com/funding_round/iotflows-inc-pre-seed--cbb79297,IoTFlows,https://www.crunchbase.com/organization/iotflows-inc,Pre-Seed,710000,USD,710000,Seed,,,,Yes,2022-02-10,IoTFlows is a software firm that offers AI-powered machine performance monitoring IoT solutions.,,"Artificial Intelligence (AI), Industrial Automation, Internet of Things, Machine Learning, Predictive Analytics","Atlanta, Georgia, United States, North America",https://www.iotflows.com,Less than $1M,710000,USD,710000,Seed,1,,"Christopher Klaus, REMUS Capital, Y Combinator, YrVentures",4,,"30,487"
Pre Seed Round - Reforged Labs,https://www.crunchbase.com/funding_round/reforged-labs-pre-seed--e029bdf8,Reforged Labs,https://www.crunchbase.com/organization/reforged-labs,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,"SDK for endless, live gaming content",,"Artificial Intelligence (AI), Gaming, IT Infrastructure","Mountain View, California, United States, North America",https://reforgedlabs.com/,,500000,USD,500000,Seed,2,Y Combinator,Y Combinator,1,,"30,635"
Pre Seed Round - Query Vary,https://www.crunchbase.com/funding_round/query-vary-pre-seed--d3e7a76c,Query Vary,https://www.crunchbase.com/organization/query-vary,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,Query Vary provides a no-code solution for building AI-powered automations to improve organizational workflows.,,"Artificial Intelligence (AI), Information Technology, Software","San Francisco, California, United States, North America",https://www.queryvary.com,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"30,608"
Seed Round - AlgoPear,https://www.crunchbase.com/funding_round/algopear-seed--ec9873e1,AlgoPear,https://www.crunchbase.com/organization/algopear,Seed,715000,USD,715000,Seed,8000000,USD,8000000,Yes,2022-06-22,AI-driven embedded investment-tech for small & midsize financial institutions that want to attract the next generation of members.,Black Founded,"Artificial Intelligence (AI), Banking, Embedded Software, Financial Services, FinTech, Personal Finance, Trading Platform, Wealth Management","Dallas, Texas, United States, North America",http://www.algopear.com,$1M to $10M,715000,USD,715000,Seed,1,,"Amelia Kennelly, Block 24 Capital, Delvin Cohns, IKON Capital, Impact Ventures, NOEMIS Ventures, The Scott Petty Company",7,2,"30,623"
Pre Seed Round - Elessar,https://www.crunchbase.com/funding_round/elessar-pre-seed--8a806504,Elessar,https://www.crunchbase.com/organization/elessar,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-08-22,Elessar is an information technology company that boosts engineering productivity by integrating with the existing ecosystem of tools.,,"Artificial Intelligence (AI), Developer Tools, Document Management, Software","Palo Alto, California, United States, North America",https://www.getelessar.com,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"31,657"
Pre Seed Round - Pilot AI,https://www.crunchbase.com/funding_round/pilot-ai-pre-seed--9574bd68,Pilot AI,https://www.crunchbase.com/organization/pilot-ai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-07-22,Pilot AI operates as a tool that automatically turns call recording into structured information.,,"Artificial Intelligence (AI), Software","San Francisco, California, United States, North America",https://www.getpilot.ai,,2700000,USD,2700000,Seed,2,Y Combinator,"Liquid 2 Ventures, Y Combinator",2,,"33,125"
Pre Seed Round - InVision Medical Technology,https://www.crunchbase.com/funding_round/invision-medical-technology-pre-seed--d3ad8010,InVision Medical Technology,https://www.crunchbase.com/organization/invision-medical-technology,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-08-22,InVision creates AI technologies to help with the interpretation of cardiac ultrasounds and the detection of undetected illnesses.,,"Artificial Intelligence (AI), Health Care, Medical","Los Angeles, California, United States, North America",https://www.invisionmedtech.com/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"32,445"
Angel Round - mtion interactive,https://www.crunchbase.com/funding_round/mtion-angel--7c34f57b,mtion interactive,https://www.crunchbase.com/organization/mtion,Angel,375000,USD,375000,Seed,,,,Yes,2022-12-01,mtion is building an AI-enabled creation platform to connect online communities through collaborative world building and AI agents.,,"Artificial Intelligence (AI), Consumer Applications, Consumer Software, Gaming, Social Media, Software, Video Games, Video Streaming, Virtual Reality, Virtual World","Kitchener, Ontario, Canada, North America",https://www.mtion.xyz,,404925,USD,404925,Seed,3,,"Comcast NBCUniversal LIFT Labs, Techstars",2,,"35,317"
Seed Round - Signum.ai,https://www.crunchbase.com/funding_round/signum-seed--8d7206d0,Signum.ai,https://www.crunchbase.com/organization/signum,Seed,400000,USD,400000,Seed,,,,Yes,2023-05-01,Signum.AI is a platform that helps automate B2B customer insights research with AI.,,"Artificial Intelligence (AI), B2B, Financial Services, FinTech, Marketing Automation, SaaS, Sales Automation","New York, New York, United States, North America",https://signum.ai,$1M to $10M,930000,USD,930000,Seed,3,,"Angelsdeck Global Ventures, RTP Global",2,,"35,976"
Grant - Pison,https://www.crunchbase.com/funding_round/pison-grant--f36e0359,Pison,https://www.crunchbase.com/organization/pison,Grant,500000,USD,500000,,,,,No,2022-06-30,Pison is a human performance company optimizing cognitive and physiological capability through gesture control.,,"Artificial Intelligence (AI), Computer, Information Technology, Robotics","Boston, Massachusetts, United States, North America",https://pisontechnology.com,Less than $1M,9271987,USD,9271987,Early Stage Venture,9,MassVentures,MassVentures,1,,"36,035"
Seed Round - Typewise,https://www.crunchbase.com/funding_round/typewise-seed--265f93b0,Typewise,https://www.crunchbase.com/organization/typewise,Seed,500000,USD,500000,Seed,,,,Yes,2022-07-01,Typewise is a Swiss deep tech company that builds text prediction AI.,,"Artificial Intelligence (AI), Machine Learning, Mobile, Mobile Apps, Software","Binningen, Basel-Stadt, Switzerland, Europe",https://typewise.app,$1M to $10M,3447167,USD,3447167,Seed,6,Y Combinator,"EuroUS Ventures, SICTIC, Y Combinator",3,,"36,118"
Non Equity Assistance - DeepSales,https://www.crunchbase.com/funding_round/deepsales-non-equity-assistance--75076bd5,DeepSales,https://www.crunchbase.com/organization/deepsales,Non-equity Assistance,700000,USD,700000,,,,,No,2023-05-01,DeepSales is a sales intelligence that helps sales teams find high quality leads and business opportunities.,,"Generative AI, Information Technology, Lead Generation, Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://deepsales.com,,3440564,USD,3440564,Seed,6,,TIPS Program,1,,"36,407"
Grant - Geoneon,https://www.crunchbase.com/funding_round/geoneon-grant--0e4ba476,Geoneon,https://www.crunchbase.com/organization/geoneon,Grant,361782,AUD,261927,,,,,No,2022-04-22,Geoneon is a technology firm that utilizes advanced AI and Earth Observation to deliver actionable insights on climate risks.,,"Analytics, Artificial Intelligence (AI), Data Management","Hobart, Tasmania, Australia, Oceania",https://www.geoneon.com/,,461782,AUD,328063,,2,Australian Government,Australian Government,1,,"37,223"
Pre Seed Round - Bifin AI,https://www.crunchbase.com/funding_round/bifin-pre-seed--95175f5d,Bifin AI,https://www.crunchbase.com/organization/bifin,Pre-Seed,400000,EUR,428659,Seed,,,,Yes,2023-02-17,We are targeting an edge in stock market investing with our SILK AI-platform. Bifin AI - Outsmarting Human Decisions,,Artificial Intelligence (AI),"Luxembourg, Luxembourg, Luxembourg, Europe",https://bifin.ai,,400000,EUR,428659,,2,,,,,"37,070"
Pre Seed Round - Superpowered AI,https://www.crunchbase.com/funding_round/superpowered-ai-pre-seed--ece45eb7,Superpowered AI,https://www.crunchbase.com/organization/superpowered-ai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-05-22,Superpowered AI offers API for retrieval augmented generation to connect LLMs to data and get accurate responses with citations.,,"Artificial Intelligence (AI), Developer APIs, Developer Tools, Information Technology, Software","Salt Lake City, Utah, United States, North America",https://superpowered.ai,,500000,USD,500000,Seed,1,,Y Combinator,1,,"37,614"
Equity Crowdfunding - Stellar Fusion,https://www.crunchbase.com/funding_round/stellar-fusion-equity-crowdfunding--43ec6665,Stellar Fusion,https://www.crunchbase.com/organization/stellar-fusion,Equity Crowdfunding,542505,GBP,675365,,5000000,GBP,6224503,Yes,2023-05-19,"Fintech, Data & Analytics, Machine Learning, AI, SaaS, B2B",,"Artificial Intelligence (AI), Data Visualization, Financial Services, FinTech, Machine Learning, Public Relations, Software","London, England, United Kingdom, Europe",https://stellarfusion.io/,,2637865,USD,2637865,Seed,3,,Crowdcube,1,,"38,417"
Seed Round - GOAT.AI,https://www.crunchbase.com/funding_round/adaptive-plus-seed--dd1daa5e,GOAT.AI,https://www.crunchbase.com/organization/adaptive-plus,Seed,500000,USD,500000,Seed,,,,Yes,2023-02-01,"Product Company and Research Lab Researching on LLM problems like hallucinations, mode-collapse and context lengths.",,"Artificial Intelligence (AI), Generation Y, Generation Z, Machine Learning, Mobile Apps","New York, New York, United States, North America",https://goat.ai/,,1500000,USD,1500000,Seed,3,Murat Abdrakhmanov,Murat Abdrakhmanov,1,,"38,895"
Pre Seed Round - Buck.ai,https://www.crunchbase.com/funding_round/buck-ai-pre-seed--5db55d7f,Buck.ai,https://www.crunchbase.com/organization/buck-ai,Pre-Seed,300000,USD,300000,Seed,,,,Yes,2022-06-01,Superhuman Virtual AI workforce for Home Services Industry,,"Artificial Intelligence (AI), Home Services, Machine Learning, Sales Automation, Software","Berkeley, California, United States, North America",https://buck.ai/,$1M to $10M,1140000,USD,1140000,Seed,4,,"Lynn Wise, PipeDreams Ventures",2,,"39,248"
Pre Seed Round - Credal.ai,https://www.crunchbase.com/funding_round/credal-ai-pre-seed--a5e84455,Credal.ai,https://www.crunchbase.com/organization/credal-ai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,The safest way to use AI with your data,,"Artificial Intelligence (AI), Information Technology, Internet, Software","New York, New York, United States, North America",https://credal.ai,$1M to $10M,5300000,USD,5300000,Seed,2,"Alumni Ventures, Y Combinator","Alumni Ventures, Y Combinator",2,1,"40,628"
Pre Seed Round - Oloren AI,https://www.crunchbase.com/funding_round/oloren-ai-pre-seed--99519544,Oloren AI,https://www.crunchbase.com/organization/oloren-ai,Pre-Seed,300000,USD,300000,Seed,,,,Yes,2022-08-31,Oloren AI offers molecular descriptor that leverages informations from millions of publically curated datasets.,,"Artificial Intelligence (AI), Information Services, SaaS, Software","San Diego, California, United States, North America",https://oloren.pro/,,300000,USD,300000,Seed,2,,AB Magnitude Ventures Group,1,,"42,002"
Seed Round - Lumnion,https://www.crunchbase.com/funding_round/lumnion-seed--8036aaa7,Lumnion,https://www.crunchbase.com/organization/lumnion,Seed,670000,USD,670000,Seed,,,,Yes,2022-12-21,"Lumnion offers AI-driven insurance pricing solutions, enhancing data prep and risk modeling for insurers.",,"Artificial Intelligence (AI), Information Technology, InsurTech, Machine Learning","München, Bayern, Germany, Europe",https://lumnion.com,$1M to $10M,2420000,USD,2420000,Seed,3,,"ITUARI Teknokent, KT Portföy, OBSS Ventures",3,,"42,436"
Pre Seed Round - Askflow AI,https://www.crunchbase.com/funding_round/askflow-ai-pre-seed--a4226da5,Askflow AI,https://www.crunchbase.com/organization/askflow-ai,Pre-Seed,350000,USD,350000,Seed,,,,Yes,2023-02-12,"AI-powered, no-code, built for ecommerce platforms suite of solutions that provides personalized experiences.",,"E-Commerce, Generative AI, SaaS","London, England, United Kingdom, Europe",https://www.askflow.ai,,350000,USD,350000,Seed,1,,,,,"42,799"
Pre Seed Round - Orbit-Ed,https://www.crunchbase.com/funding_round/orbit-ed-pre-seed--a7eae747,Orbit-Ed,https://www.crunchbase.com/organization/orbit-ed,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-07-26,AI communication coach - helping enterprises train their employees in a measurable and immersive manner,,"Artificial Intelligence (AI), EdTech, Education, Training, Virtual Reality","Islamabad, Islamabad, Pakistan, Asia",https://www.orbit-ed.com/,Less than $1M,545000,USD,545000,Seed,3,,Boost VC,1,,"43,345"
Pre Seed Round - AvairSense,https://www.crunchbase.com/funding_round/avairsense-pre-seed--aed6a277,AvairSense,https://www.crunchbase.com/organization/avairsense,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-22,AvairSense is a smart camera company that builds Artificial Intelligence-enabled cameras.,,"Artificial Intelligence (AI), Consumer, Electronics","Bengaluru, Karnataka, India, Asia",https://www.avairsense.com,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"45,196"
Pre Seed Round - Spade AI,https://www.crunchbase.com/funding_round/grandstage-inc-pre-seed--690eb4e4,Spade AI,https://www.crunchbase.com/organization/grandstage-inc,Pre-Seed,510000,USD,510000,Seed,,,,Yes,2022-05-01,Spade AI gives B2B product marketing and sales teams market intelligence to rapidly respond to the ever changing market conditions.,,"Analytics, Artificial Intelligence (AI), Machine Learning, Market Research, Software","New York, New York, United States, North America",https://getspade.ai,,510000,USD,510000,Seed,1,,"Antler, Techstars",2,,"45,965"
Pre Seed Round - Powerhouse AI,https://www.crunchbase.com/funding_round/powerhouse-ai-pre-seed--dbc5c63a,Powerhouse AI,https://www.crunchbase.com/organization/powerhouse-ai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-01-10,Powerhouse AI provides automated inventory management services.,,"Artificial Intelligence (AI), Computer Vision, Logistics, Machine Learning, Software, Warehousing","Singapore, Central Region, Singapore, Asia",https://www.powerhouseai.co,,500000,USD,500000,Seed,3,Y Combinator,Y Combinator,1,,"45,943"
Pre Seed Round - Nyckel,https://www.crunchbase.com/funding_round/nyckel-pre-seed--4d085732,Nyckel,https://www.crunchbase.com/organization/nyckel,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-22,Nyckel helps developers to create custom classification models for their API.,,"Artificial Intelligence (AI), Enterprise, Information Technology, Machine Learning, Software","Oakland, California, United States, North America",https://www.nyckel.com/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"45,903"
Pre Seed Round - Mesh Analytics,https://www.crunchbase.com/funding_round/mesh-analytics-pre-seed--e1785733,Mesh Analytics,https://www.crunchbase.com/organization/mesh-analytics,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-08-22,Mesh Analytics is an AI-powered revenue analytics platform for B2B marketing and sales organizations.,,"Artificial Intelligence (AI), B2B, Marketing","New York, New York, United States, North America",https://www.withmesh.com,,3620000,USD,3620000,Seed,2,Y Combinator,Y Combinator,1,1,"45,796"
